ATRIBUTOS;PERFIL;CATEGORIA;AREA DE SUPORTE
ACABATIVO;Resultado;Realizador;Execução
ACOMODADO;;;
ADAPTÁVEL;Influenciador;Versátil;Relacionamento
ADICÇÕES;;;
AGRESSIVIDADE;;;
ALTA SENSIBILIDADE;;;
ALTRUÍSTA;;Justo;Relacionamento
AMOROSIDADE;;;
ANÁLISE;;Analítico;Análise
ANÁLISE MENTAL;;Analítico;Análise
ANALISTA;;Analítico;Análise
ANTI SOCIAL;;;
ARROGÂNCIA;;;
ARTISTA;;Comunicativo;Comunicação
AUDÁCIA;Lider;Inovador;Versatilidade
AUTO CONFIANÇA;Lider;;
AUTO EXPRESSÃO;Comunicador;Comunicativo;Comunicação
AVAREZA;;;
CARISMA;Influenciador;Magnético;Coletividade
CENTRALIZADOR;;;
COLABORAÇÃO;;Empático;Coletividade
COLETIVO;Lider;;Coletividade
COMUNICAÇÃO;Comunicador;Comunicativo;Comunicação
CONCRETIZAÇÃO;Resultado;Realizador;Execução
CONEXÃO;Influenciador;Versátil;Comunicação
CONFIANÇA;Lider;Realizador;
CONHECIMENTO;Lider;Conhecimento;
CONQUISTA;Vendedor;Realizador;Execução
CONSCIÊNCIA;;;
CONSELHEIRO;Influenciador;Diplomático;Justiça
CONSTÂNCIA;Executor;Realizador;Organização
CONSTRUTOR;Executor;Realizador;Organização
CONVICÇÃO;;Intuitivo;Intuição
COOPERAÇÃO;;;Coletividade
CORAGEM;Lider;;Justiça
CRIATIVO;Criativo;;
DESCONFIANÇA;;;
DESCONTROLE;;;
DESINTERESSE;;;
DESPREOCUPAÇÃO;;;
DETALHISTA;;Analítico;Análise
DETERMINAÇÃO;Lider;Realizador;
DINHEIRO;Vendedor;;
DIPLOMACIA;;Diplomático;Relacionamento
DIRECIONAMENTO;Lider;;
DOMINADOR;Influenciador;Magnético;
DOMINÂNCIA;Lider;Intuitivo;Intuição
EGOCENTRISMO;;;
EMPATIA;;Empático;Relacionamento
EMPREENDEDOR;Resultado;Realizador;
ENTUSIASMO;Comunicador;Comunicativo;
EQUIPE;Lider;;
ESPECIALISTA;;;
ESPERANÇA;;;
ESTABILIDADE;Resultado;Organizado;Organização
EXECUTOR;Executor;Realizador;Execução
EXIBICIONISMO;;;
ÊXITO MATERIAL;Vendedor;;
EXPLOSÃO;;;
EXTREMISTA;;;
FALTA DE CREDIBILIDADE;;;
FALTA DE PERSISTÊNCIA;;;
FALTA DE VONTADE;;;
FECHADO;;;
CRIAÇÃO;Criativo;;
GANÂNCIA;;;
HABILIDADE;;Diplomático;Relacionamento
HARMONIA;;Harmônico;Serviço
IMPACIÊNCIA;;;
IMPACIENTE;;;
IMPOSITIVO;;;
INCONSEQUENTE;;;
INCONSISTÊNCIA;;;
INDECISÃO;;;
INDISCIPLINA;;;
INDOLÊNCIA;;;
INFLUENCIADOR;Influenciador;Magnético;Intuição
INICIATIVA;Lider;Inovador;
INOVAÇÃO;Criativo;Inovador;
INSEGURANÇA;;;
INSPIRAÇÃO;Criativo;Intuitivo;Intuição
INSTABILIDADE;;;
INSUBORDINAÇÃO;;;
INTELECTUALIDADE;;Conhecimento;
INTUITIVO;Criativo;Intuitivo;Intuição
JUSTIÇA;;Justo;Justiça
LIDER;Lider;;
MAGNETISMO PESSOAL;Influenciador;Magnético;
MENTIRA;;;
MOVIMENTAÇÃO;Vendedor;Versátil;Versatilidade
MULTITALENTO;Comunicador;Versátil;Versatilidade
ORGANIZAÇÃO;Executor;Organizado;Organização
ORGULHO;;;
PERÍCIA;;Analítico;Análise
PERSISTÊNCIA;Executor;Realizador;
PERSPICÁCIA;Executor;Analítico;Análise
PERSUASÃO;Influenciador;Comunicativo;Comunicação
PESSIMISMO;;;
PIONEIRO;Lider;Inovador;
PIONIERISMO;Lider;Inovador;
AUTORIDADE;;Realizador;Execução
PODER;Lider;;
PODER MENTAL;Influenciador;Comunicativo;Intuição
POPULAR;Influenciador;Magnético;Coletividade
PREOCUPAÇÃO;;;
PREPOTÊNCIA;;;
PRESUNÇÃO;;;
PROGRESSO;Executor;Realizador;Execução
REALIZAÇÃO;Executor;Realizador;Execução
RELACIONAMENTO;;;Relacionamento
RENUNCIA;;;
RESPONSABILIDADE;Executor;Realizador;Disciplina
RESULTADO;Resultado;Realizador;Organização
SABEDORIA;Influenciador;Intuitivo;Intuição
SELETIVO;Executor;Analítico;Análise
SEM LIMITES;;;
SENSÍVEL;;Harmônico;Relacionamento
CENSURA;;;
SENTIMENTAL;;;Relacionamento
SERVIÇO;Executor;Realizador;Serviço
SERVIDOR;Executor;Conhecimento;Coletividade
SOCIABILIDADE;Comunicador;Comunicativo;Coletividade
SOCIAL;Influenciador;Diplomático;Coletividade
SOLÍCITO;Executor;Harmônico;Relacionamento
SUCESSO;Influenciador;Visionário;Comunicação
SUPERIORIDADE;;;
TEIMOSIA;;;
TENSO;;;
TODOS;;;
TRIUNFO;Resultado;Realizador;Organização
UNIVERSALIDADE;;Conhecimento;Coletividade
VENDEDOR;Vendedor;;
VERSATILIDADE;Comunicador;Versátil;Versatilidade
VISIONÁRIO;;Visionário;Intuição
VONTADE;;Realizador;
